subjid,sceneid,sceneorder,desc,cleaned,pattern,pattern (normalised order)
69,18,26,the big blue sphere next to the big blue cube,large blue ball next-to large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,19,32,big yellow sphere on top of the big red sphere,large yellow ball on-top-of large red ball,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,20,14,big blue sphere on top of the big blue cube,large blue ball on-top-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,21,2,first sphere from the left,left-hand ball,tg_loc tg_type,tg_loc tg_type
69,22,16,big red sphere next to the big red cube,large red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,23,6,big green sphere on top of the big blue cube,large green ball on-top-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,24,22,big red sphere on top of the big red cube,large red ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,25,30,small green sphere next to the small blue cube,small green ball next-to small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,26,12,small red sphere lying next to the small red cube,small red ball next-to small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,27,20,small green sphere on top of the small blue cube,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,28,24,small red sphere on top of the small red cube,small red ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,29,4,small yellow sphere next to the small red cube,small yellow ball next-to small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,30,18,small blue sphere next to the small blue cube,small blue ball next-to small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,31,10,small yellow sphere on top of the small red cube,small yellow ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
69,32,8,small blue sphere on top of the small blue cube,small blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
71,17,22,big yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,18,2,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,19,8,big yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,20,4,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,21,30,big green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,22,32,big red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,23,10,big green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,24,14,big red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,25,24,little green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,26,16,smalles red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,27,26,little green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,28,28,little red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,29,6,little yellow sphere,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
71,30,20,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
71,31,18,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
71,32,12,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
72,1,6,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,2,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,3,14,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,4,32,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,5,24,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
72,6,2,small blue circle,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,7,26,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
72,8,30,blue ball,blue ball,tg_col tg_type,tg_col tg_type
72,9,10,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,10,12,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,11,8,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,12,28,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,13,16,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
72,14,18,red ball,red ball,tg_col tg_type,tg_col tg_type
72,15,20,green ball,green ball,tg_col tg_type,tg_col tg_type
72,16,22,red ball,red ball,tg_col tg_type,tg_col tg_type
73,17,18,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,18,6,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,19,2,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
73,20,4,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,21,20,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,22,14,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,23,26,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,24,28,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,25,30,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,26,22,small red bAall,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,27,8,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,28,12,small red ball ,small red ball ,tg_size tg_col tg_type ,tg_size tg_col tg_type 
73,29,24,small yellow ball ,small yellow ball ,tg_size tg_col tg_type ,tg_size tg_col tg_type 
73,30,32,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,31,16,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
73,32,10,small blue ball to the right of the red box,small blue ball right-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
74,1,10,green ball,green ball,tg_col tg_type,tg_col tg_type
74,2,14,red ball besides the big red cube,red ball next-to large red cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
74,3,32,green ball,green ball,tg_col tg_type,tg_col tg_type
74,4,20,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,5,24,little yellow ball by the cube,small yellow ball next-to cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type
74,6,28,blue ball by the big cube,blue ball next-to large cube,tg_col tg_type rel lm_size lm_type,tg_col tg_type rel lm_size lm_type
74,7,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
74,8,26,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,9,2,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,10,18,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,11,12,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,12,6,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,13,4,big green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,14,16,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,15,30,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
74,16,22,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,17,8,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,18,18,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,19,20,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,20,16,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,21,26,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,22,22,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,23,2,large green ball on top of the large blue box,large green ball on-top-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
75,24,28,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,25,6,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,26,14,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,27,4,little green ball on top of the little blue box,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
75,28,24,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,29,32,little yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,30,30,little blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
75,31,10,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
75,32,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
76,1,22,green ball,green ball,tg_col tg_type,tg_col tg_type
76,2,28,rightmost ball,right-hand ball,tg_loc tg_type,tg_loc tg_type
76,3,10,green ball,green ball,tg_col tg_type,tg_col tg_type
76,4,2,red ball that sits on the red cube,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
76,5,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
76,6,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
76,7,6,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
76,8,4,blue ball,blue ball,tg_col tg_type,tg_col tg_type
76,9,20,yellow ball that sits on the floor,yellow bottom ball,tg_col tg_loc tg_type,tg_col tg_loc tg_type
76,10,32,rightmost blue ball,right-hand blue ball,tg_loc tg_col tg_type,tg_col tg_loc tg_type
76,11,24,ball that sits on a cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type
76,12,14,sphere that sits on the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type
76,13,26,green ball,green ball,tg_col tg_type,tg_col tg_type
76,14,30,red ball,red ball,tg_col tg_type,tg_col tg_type
76,15,18,green ball,green ball,tg_col tg_type,tg_col tg_type
76,16,16,red ball,red ball,tg_col tg_type,tg_col tg_type
77,17,24,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,18,32,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,19,26,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,20,30,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,21,8,green ball,green ball,tg_col tg_type,tg_col tg_type
77,22,12,red ball,red ball,tg_col tg_type,tg_col tg_type
77,23,22,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,24,10,red ball,red ball,tg_col tg_type,tg_col tg_type
77,25,2,smaller green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,26,16,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,27,28,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,28,20,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,29,4,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,30,6,blue ball,blue ball,tg_col tg_type,tg_col tg_type
77,31,14,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
77,32,18,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
78,1,18,the green ball,green ball,tg_col tg_type,tg_col tg_type
78,2,28,small red ball resting on the biggest red cube,small red ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
78,3,2,green ball on top of the big blue cube,green ball on-top-of large blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
78,4,22,smaller red ball on top of the biggest red cube,small red ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
78,5,24,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
78,6,8, blue ball, blue ball, tg_col tg_type, tg_col tg_type
78,7,10,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
78,8,4,blue ball on top of the big blue cube,blue ball on-top-of large blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
78,9,20,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
78,10,6,The biggest blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
78,11,12,biggest yellow cube,large yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type
78,12,14,biggest blue ball that is resting on the small blue cube,large blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
78,13,26,green ball,green ball,tg_col tg_type,tg_col tg_type
78,14,16,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
78,15,30,green ball resting on the small blue cube,green ball on-top-of small blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
78,16,32,red ball,red ball,tg_col tg_type,tg_col tg_type
80,1,30,the green ball,green ball,tg_col tg_type,tg_col tg_type
80,2,2,the small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
80,3,4,the green ball on top of the blue cube,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
80,4,6,the red ball on top of the red cube,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
80,5,24,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
80,6,16,the blue ball,blue ball,tg_col tg_type,tg_col tg_type
80,7,28,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
80,8,18,the blue ball,blue ball,tg_col tg_type,tg_col tg_type
80,9,12,the largest yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
80,10,10,the largest blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
80,11,22,the largest yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
80,12,32,the larger of the two blue balls,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
80,13,14,the green ball,green ball,tg_col tg_type,tg_col tg_type
80,14,20,the red ball,red ball,tg_col tg_type,tg_col tg_type
80,15,8,the green ball,green ball,tg_col tg_type,tg_col tg_type
80,16,26,the red ball,red ball,tg_col tg_type,tg_col tg_type
81,17,14,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,18,22,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,19,20,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,20,26,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,21,24,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,22,30,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,23,32,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,24,4,large red ball ,large red ball ,tg_size tg_col tg_type ,tg_size tg_col tg_type 
81,25,18,small green ball next to the blue cube,small green ball next-to blue cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
81,26,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
81,27,16,green ball on top of the blue cube,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
81,28,10,red ball on top of the red cube,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
81,29,12,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
81,30,6,blue ball,blue ball,tg_col tg_type,tg_col tg_type
81,31,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
81,32,28,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,17,32,big yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,18,18,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,19,20,big yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,20,26,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,21,4,big green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,22,16,big red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,23,24,big green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,24,14,big red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,25,28,small green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,26,12,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,27,22,small green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,28,8,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,29,10,small yellow sphere,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,30,6,small blue sphere,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,31,30,small yellow sphere,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
83,32,2,small blue sphere,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
84,1,28,green sphere,green ball,tg_col tg_type,tg_col tg_type
84,2,20,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
84,3,16,green sphere,green ball,tg_col tg_type,tg_col tg_type
84,4,22,red sphere,red ball,tg_col tg_type,tg_col tg_type
84,5,6,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
84,6,24,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
84,7,30,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
84,8,4,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
84,9,2,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
84,10,18,rightmost blue sphere,right-hand blue ball,tg_loc tg_col tg_type,tg_col tg_loc tg_type
84,11,32,large yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
84,12,10,large blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
84,13,12,green sphere,green ball,tg_col tg_type,tg_col tg_type
84,14,26,red sphere,red ball,tg_col tg_type,tg_col tg_type
84,15,8,green sphere,green ball,tg_col tg_type,tg_col tg_type
84,16,14,red sphere,red ball,tg_col tg_type,tg_col tg_type
85,17,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
85,18,14,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
85,19,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
85,20,6,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
85,21,26,green ball,green ball,tg_col tg_type,tg_col tg_type
85,22,8,red ball beside the large red box,red ball next-to large red cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
85,23,30,green ball,green ball,tg_col tg_type,tg_col tg_type
85,24,2,red ball,red ball,tg_col tg_type,tg_col tg_type
85,25,20,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
85,26,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
85,27,10,smal green ball on the smallblue box,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
85,28,28,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
85,29,12, yellow ball, yellow ball, tg_col tg_type, tg_col tg_type
85,30,18,blue ball,blue ball,tg_col tg_type,tg_col tg_type
85,31,24,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
85,32,16,blue ball,blue ball,tg_col tg_type,tg_col tg_type
86,1,14,green ball,green ball,tg_col tg_type,tg_col tg_type
86,2,18,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,3,28,green ball,green ball,tg_col tg_type,tg_col tg_type
86,4,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,5,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
86,6,26,blue ball,blue ball,tg_col tg_type,tg_col tg_type
86,7,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
86,8,22,blue ball,blue ball,tg_col tg_type,tg_col tg_type
86,9,6,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,10,24,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,11,12,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,12,16,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
86,13,20,green ball,green ball,tg_col tg_type,tg_col tg_type
86,14,10,red ball,red ball,tg_col tg_type,tg_col tg_type
86,15,2,green ball,green ball,tg_col tg_type,tg_col tg_type
86,16,8,red ball,red ball,tg_col tg_type,tg_col tg_type
88,1,24,green sphere,green ball,tg_col tg_type,tg_col tg_type
88,2,4,smallest red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,3,16,small green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,4,12,red sphere on top of the red cube,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
88,5,20,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
88,6,32,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
88,7,10,small yellow sphere,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,8,6,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
88,9,26,large yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,10,2,large blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,11,22,large yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
88,12,14,large blue sphere on top of the small blue cube,large blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
88,13,8,green sphere,green ball,tg_col tg_type,tg_col tg_type
88,14,28,red sphere,red ball,tg_col tg_type,tg_col tg_type
88,15,30,green sphere,green ball,tg_col tg_type,tg_col tg_type
88,16,18,red sphere,red ball,tg_col tg_type,tg_col tg_type
89,17,2,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,18,32,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,19,28,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
89,20,4,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,21,12,green ball,green ball,tg_col tg_type,tg_col tg_type
89,22,16,red ball,red ball,tg_col tg_type,tg_col tg_type
89,23,26,green ball,green ball,tg_col tg_type,tg_col tg_type
89,24,24,red ball,red ball,tg_col tg_type,tg_col tg_type
89,25,8,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,26,18,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,27,10,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,28,30,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
89,29,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
89,30,14,blue ball,blue ball,tg_col tg_type,tg_col tg_type
89,31,6,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
89,32,20,blue ball,blue ball,tg_col tg_type,tg_col tg_type
90,1,10,green ball,green ball,tg_col tg_type,tg_col tg_type
90,2,28,small red ball touching the red cube,small red ball next-to red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
90,3,14,green ball,green ball,tg_col tg_type,tg_col tg_type
90,4,4,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,5,30,yellow ball touching the red cube,yellow ball next-to red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
90,6,26,blue ball,blue ball,tg_col tg_type,tg_col tg_type
90,7,6,yellow ball on top of the red cube,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
90,8,22,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,9,2,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,10,12,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,11,16,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,12,18,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,13,32,green ball,green ball,tg_col tg_type,tg_col tg_type
90,14,24,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,15,20,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
90,16,8,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,17,26,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,18,10,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,19,6,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,20,2,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,21,30,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,22,12,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,23,24,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,24,8,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,25,14,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,26,16,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,27,4,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,28,22,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,29,20,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,30,32,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,31,28,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
91,32,18,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
92,1,30,green ball,green ball,tg_col tg_type,tg_col tg_type
92,2,22,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
92,3,4,green ball,green ball,tg_col tg_type,tg_col tg_type
