subjid,gender,age,field,English,tech problems,easier,colour-vision,time,comment
226,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, It got easier as I started to develop a pattern in my responses and after a time knew what to look for.
227,female,20-25,languages,american,noprobs,easier-maybe,not-col-blind,10-15, 
228,female,40-50,languages,british,noprobs,easier-no,not-col-blind,under10, I wondered about colour blindness but it wasn't specified.I'd be very interested in the results.
229,male,26-30,languages,american,noprobs,easier-no,not-col-blind,under10,Would it be possible to see the results of this study when it's completed?  If so you can e-mail me at Thanks
230,female,30-40,languages,british,noprobs,easier-yes,not-col-blind,under10, 
232,male,30-40,languages,american,noprobs,easier-no,not-col-blind,under10, 
233,male,30-40,cognitive science,british,noprobs,easier-yes,not-col-blind,under10,The images did not on average get simpler over time but I became habituated to the task and acquired a set of more readily accessible stereotyped constructional elements from which my responses came to be composed.
234,female,30-40,human or social sciences,american,noprobs,easier-no,not-col-blind,under10, Sorry!  I apparently did not understand the directions the first time I did the experiment so I did it again.  I hope you can still use my data.
235,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,colour-blind,under10, 
236,female,20-25,arts,american,noprobs,easier-no,not-col-blind,under10, very cool. I just wrote what came to mind immediately. the variance was interesting between box/cube and ball/sphere. 
237,male,26-30,languages,american,noprobs,easier-maybe,not-col-blind,under10, 
238,female,40-50,physical or natural sciences,british,noprobs,easier-no,not-col-blind,under10, 
239,female,30-40,languages,other,noprobs,easier-maybe,not-col-blind,under10, 
240,male,10-15,mathematics or engineering or computing,australian,,easier-yes,not-col-blind,under10, When I began to rush (as I was getting more familiar with the process) I found that I missed some bits of information that would make it hard to identify exactly what shape I was talking about. It did get easier however in that I developed common ways of describing certain situations and therefore was immediately able to write down how you I would identify the shape.
242,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10," I feel I started standardising my vocabulary after a while - always choosing ""little"" over ""small"" for example."
245,male,20-25,languages,american,noprobs,easier-no,not-col-blind,under10, The question often running through my mind was where my interlocutor was standing.
246,male,26-30,languages,american,noprobs,easier-no,not-col-blind,under10, very nice - i am sure there will be a couple of phenomena to analyze
247,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,under10, 
248,female,50-60,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,10-15, 
249,male,20-25,cognitive science,australian,noprobs,easier-no,not-col-blind,10-15, got a bit fatigued particular in the middle when the end was so far away it was hard to get color words and ball/cube straight (I knew what I wanted to say I just said the wrong thing). I know I screwed up at least once!
250,female,40-50,mathematics or engineering or computing,british,noprobs,easier-yes,not-col-blind,under10,"At first I used terms like ""left"" and ""right"" but assumed later I should not assume a fixed viewing position.The only technical problem was on this feedback page which froze up and then recovered."
251,male,26-30,mathematics or engineering or computing,other,noprobs,easier-no,not-col-blind,under10, 
253,male,30-40,mathematics or engineering or computing,british,noprobs,easier-maybe,not-col-blind,under10,Would have been nice to see some trickier ones. Most times it was very easy to describe the object by reference to its shape and colour. Sometimes it was necessary to make reference to its size. Occasionally it was necessary to make reference to the object it was on or next to and only very occasionally did it seem necessary to make some reference to where in the room the object was. Would have been more fun at least :-)
254,female,20-25,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,10-15, 
255,female,26-30,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10,It became easier as I started creating a pattern in which I described the item ie size followed by colour followed by shape followed by position...
256,female,over60,human or social sciences,american,noprobs,easier-no,not-col-blind,10-15, 
258,male,30-40,mathematics or engineering or computing,british,noprobs,easier-yes,not-col-blind,under10," It felt like it was getting easier because I developed patterns for describing the object I wanted.  I became conscious of first checking whether the object was unique in shape and colour so I could just ask for e.g. ""the red ball"".  If not unique I would first try to describe it by being on a unique shape else use left-right to distinguish. Please do keep me informed about your research - I find it very interesting.  Good luck!"
259,male,over60,cognitive science,british,noprobs,easier-no,colour-blind,under10, 
260,male,50-60,languages,british,noprobs,easier-no,not-col-blind,under10, Some objects could be unique described with just their colour
262,male,30-40,mathematics or engineering or computing,american,noprobs,easier-maybe,maybe-col-blind,under10, Why didn't you ask us to identify the items based on descriptions others had entered?The study made me think of Gorniak and Roy 2004: Grounded semantic composition for visual scenes
263,female,50-60,languages,british,noprobs,easier-yes,not-col-blind,under10, 
264,female,30-40,languages,american,noprobs,easier-maybe,not-col-blind,under10, 
266,female,30-40,human or social sciences,american,noprobs,easier-no,not-col-blind,under10, 
268,male,over60,physical or natural sciences,american,noprobs,easier-yes,not-col-blind,under10,set rthym for answering after 2 questions
269,male,50-60,human or social sciences,american,techprobs,easier-no,not-col-blind,under10,a missing page but back fixed it.
270,male,20-25,languages,australian,noprobs,easier-no,not-col-blind,under10,The test appeared to train me to use color names to specify balls/blocks before making them redundant in some scenes. But this time I felt a habitual need to specify color when it was not necessary such that I'd type it as soon as I saw the ball but before actually examining the whole scene and noticing that it was unnecessary. I think if I were presented with these scenes first I would almost certainly not mention color but the previous slides made me do so reflexively.
271,female,30-40,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
272,female,40-50,languages,american,noprobs,easier-no,not-col-blind,under10, 
273,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, I am suffering from hideous insomnia
274,female,40-50,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
275,female,26-30,languages,american,noprobs,easier-no,not-col-blind,under10, I was more deliberate in my description in the beginning. Later if there was only one of the object in question I just used the color as a descriptor rather than location or relation to another object. 
276,female,26-30,physical or natural sciences,american,noprobs,easier-no,not-col-blind,10-15, 
277,male,26-30,languages,american,noprobs,easier-no,not-col-blind,10-15, 
279,male,40-50,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
280,female,over60,languages,british,noprobs,easier-no,not-col-blind,under10," Sorry I think you wanted ""block"" and I wrote ""cube"" I have a feeling that blocks are rectangular ... (go figure)"
281,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
282,female,30-40,languages,american,noprobs,easier-no,not-col-blind,10-15, 
283,male,over60,human or social sciences,british,noprobs,easier-yes,not-col-blind,under10,May have over-specified at the beginning becoming more natural and economical later on 
284,female,40-50,physical or natural sciences,american,noprobs,easier-no,not-col-blind,under10, I get confused on to the left or right.  Is it my left or the object's left.  Didn't want to use said phrase because of it but felt it was the most efficient.  This was a fun easy experiment for me good luck with your studies
285,female,20-25,cognitive science,australian,noprobs,easier-yes,not-col-blind,under10, I knew how to describe the same situation - so when i saw a similar setting I just had the response primed.
287,male,over60,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,10-15, I did not record the time; it could have taken under 10 minutes.
288,male,30-40,languages,american,noprobs,easier-no,not-col-blind,under10, It was unclear if I was going for clarity conciseness or efficiency... so many different alternatives occurred simultaneously. I tried to take the first one.
290,female,20-25,arts,australian,noprobs,easier-no,not-col-blind,under10, 
291,female,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10," It got easier to scan the picture and decide how to describe the object. I made a mistake in one picture and typed ""blue blue"" I think instead of ""big blue"". This is very interesting!"
292,male,over60,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
293,male,40-50,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10,If there's only one color/shape combo just ask for it.  If one color/shape/size ask for that.  If just two use left/right.  Can make that call in a second or two.  Just one case needed more I think.
294,male,20-25,languages,american,,,,,
295,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,under10, 
296,male,20-25,mathematics or engineering or computing,british,noprobs,easier-yes,not-col-blind,10-15,The task got easier over time because I started to recognise patterns by which to describe the objects. I also started to think more about the rest of the scene to make my descriptions shorter.
297,female,10-15,cognitive science,american,noprobs,easier-no,not-col-blind,10-15,
298,female,50-60,physical or natural sciences,american,noprobs,easier-no,not-col-blind,under10, 
299,female,50-60,languages,american,noprobs,easier-no,not-col-blind,under10, Well I wasn't sure how much information was needed. And then I thought if the person can't see then the colors really don't matter and that maybe you'd have to take all that out of your corpus. Then I got rather bored and tried to be really as exact as I could but wasn't sure that was necessary. I suppose I was thinking like a linguist and thought how many ways could I say this to give you some good samples.  In the end I wasn't very creative!
300,female,over60,physical or natural sciences,american,noprobs,easier-yes,not-col-blind,10-15, What are my results? Did it help your study?
301,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, I used shorter descriptions as time went on. 
302,female,10-15,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
303,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, seemed easy to complete
304,female,over60,languages,american,,,,,
305,female,30-40,arts,australian,noprobs,easier-maybe,not-col-blind,under10, 
306,female,10-15,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10, 
307,male,40-50,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10,"Interesting I found that it was easy to fall into a pattern to describe the objects even when a sufficient description could be made more simply. (size) (color) (shape) ... when sometimes two of them would be enough to designate the indicated object unambiguously. It always included the shape though ... never a place holder like ""one"""
308,male,50-60,languages,british,noprobs,easier-maybe,maybe-col-blind,under10, 
309,female,50-60,human or social sciences,american,noprobs,easier-yes,not-col-blind,10-15, I think my answers were more efficient and less wordy as time went on - perhaps that is only my perception
310,male,30-40,no college or university education,american,noprobs,easier-no,not-col-blind,under10," was a bit repetitive. Once I settled on ""box"" and ""ball"" for the descriptors of the objects I started to want to flesh out my descriptions even when it was unnecessary just to keep it lively."
311,male,26-30,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10, It became easier because I used the same conventions for the spatial relation between the indicated object and at least one other object. I kept the same naming convention through out the exercise. ie used large and small through out rather than big or tiny or smaller etc. 
312,female,50-60,human or social sciences,american,noprobs,easier-yes,not-col-blind,under10,I started to notice what was necessary to uniquely identify a ball or cube and stopped worrying about whether the perspective made a ball look smaller when it wasn't. When there was a perspective question I used other identifiers. Was interested to note that color and shape were more salient and easy identifiers than relative position
313,female,20-25,arts,american,noprobs,easier-yes,not-col-blind,under10,The task got easier when I stopped debating where my interlocutor was supposed to be standing and just resorted to using stage directions pretending that the person understood them.
314,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
315,female,20-25,human or social sciences,australian,noprobs,easier-maybe,not-col-blind,under10, 
316,female,26-30,languages,american,noprobs,easier-no,not-col-blind,under10, 
317,female,30-40,physical or natural sciences,american,noprobs,easier-yes,not-col-blind,under10, Once I had a system down the experiment felt easier to do though I noticed a definite slow down in my description time when there was a new situation- two objects the same in the picture for instance. The two green boxes one on top of the other felt the longest b/c I had to stop and think how I would describe the top one; it didn't fit in with my naming system. 
318,female,20-25,arts,australian,noprobs,easier-no,not-col-blind,under10,
319,male,30-40,physical or natural sciences,australian,,easier-yes,not-col-blind,under10, I think it got easier because I got into a rythym of uniquely describing objects.
321,male,30-40,languages,american,noprobs,easier-no,not-col-blind,under10, 
322,male,over60,mathematics or engineering or computing,american,,,,under10,normal 
324,female,20-25,languages,american,noprobs,easier-maybe,not-col-blind,under10,"Halfway through I realized the objects were three dimensional so I started calling the ""squares"" cubes. "
325,male,over60,languages,british,noprobs,easier-no,not-col-blind,under10, I felt I chose the minimal identifiction of the objects although I could have specified them more fully. Most often I think I left out location if the object could be identified anyway (because it was the only one of its size colour or shape)
326,female,30-40,cognitive science,american,noprobs,easier-no,not-col-blind,under10, 
